schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
29QBZV,"245-35 NEWHALL AVENUE, QUEENS, NY 11422",queens,11422,245-35,NEWHALL AVENUE,40.658031,-73.73972,1056466.0,179122.0,413.0
29QBZW,"188-32 JAMAICA AVENUE, QUEENS, NY 11423",queens,11423,188-32,JAMAICA AVENUE,40.711418,-73.769991,1048016.0,198549.0,412.0
29QCAI,"105-17 169TH STREET, QUEENS, NY 11433",queens,11433,105-17,169TH STREET,40.700998,-73.787999,1043033.0,194740.0,412.0
29QCAL,"220-02 DAVENPORT AVENUE, QUEENS, NY 11428",queens,11428,220-02,DAVENPORT AVENUE,40.724169,-73.737236,1057083.0,203220.0,413.0
29QCAQ,"186-08 104TH AVENUE, QUEENS, NY 11412",queens,11412,186-08,104TH AVENUE,40.705752,-73.770664,1047835.0,196484.0,412.0
29QCAR,"13848 230TH PLACE, QUEENS, NY 11413",queens,11413,13848,230TH PLACE,40.669981,-73.743163,1055498.0,183473.0,413.0
29QCAZ,"11439 210TH STREET, QUEENS, NY 11411",queens,11411,11439,210TH STREET,40.701668,-73.744631,1055057.0,195016.0,413.0
29QCBC,"181-10 144 AVENUE, QUEENS, NY 11413",queens,11413,181-10,144 AVENUE,40.667941,-73.763076,1049976.0,182714.0,412.0
29QCBQ,"255-19 147TH DRIVE, QUEENS, NY 11422",queens,11422,255-19,147TH DRIVE,40.655814,-73.733843,1058099.0,178319.0,413.0
29QCCB,"216-04 130TH AVE, QUEENS, NY 11413",queens,11413,216-04,130TH AVE,40.685504,-73.749961,1053596.0,189123.0,413.0
29QCCS,"120-16 201ST PLACE, QUEENS, NY 11412",queens,11412,120-16,201ST PLACE,40.69076,-73.748632,1053959.0,191039.0,412.0
29QCDQ,"93-02 215TH STREET, QUEENS, NY 11428",queens,11428,93-02,215TH STREET,40.719762,-73.742635,1055591.0,201610.0,413.0
29QCDU,"223-15 139 AVENUE, QUEENS, NY 11413",queens,11413,223-15,139 AVENUE,40.671576,-73.750395,1053490.0,184048.0,413.0
29QCDY,"120-44 192ND STREET, QUEENS, NY 11412",queens,11412,120-44,192ND STREET,40.687195,-73.756387,1051812.0,189734.0,412.0
29QCEA,"241-04 148 ROAD, QUEENS, NY 11422",queens,11422,241-04,148 ROAD,40.653984,-73.742893,1055590.0,177645.0,413.0
29QCEC,"114-36 194TH STREET, QUEENS, NY 11412",queens,11412,114-36,194TH STREET,40.697477,-73.76005,1050786.0,193477.0,412.0
29QCEE,"221-11 108TH AVE, QUEENS, NY 11429",queens,11429,221-11,108TH AVE,40.708597,-73.734422,1057880.0,197549.0,413.0
29QCEG,"187-18 ROME DRIVE, QUEENS, NY 11412",queens,11412,187-18,ROME DRIVE,40.695202,-73.767209,1048803.0,192643.0,412.0
29QCEH,"187-55 TIOGA DR., QUEENS, NY 11412",queens,11412,187-55,TIOGA DR.,40.69443,-73.765521,1049272.0,192363.0,412.0
29QCEI,"178-45 145TH ROAD, QUEENS, NY 11434",queens,11434,178-45,145TH ROAD,40.665379,-73.766434,1049047.0,181778.0,413.0
29QCEJ,"13805 231ST ST, QUEENS, NY 11413",queens,11413,13805,231ST ST,40.67016,-73.741933,1055839.0,183539.0,413.0
29QCEL,"130-02 226TH STREET, QUEENS, NY 11413",queens,11413,130-02,226TH STREET,40.682454,-73.741052,1056070.0,188019.0,413.0
29QCEQ,"137-01 BELKNAP ST, QUEENS, NY 11413",queens,11413,137-01,BELKNAP ST,40.676003,-73.758011,1051373.0,185655.0,412.0
29QCES,"24119 135TH AVENUE, QUEENS, NY 11422",queens,11422,24119,135TH AVENUE,40.671875,-73.733592,1058151.0,184171.0,413.0
29QCEU,"146-43 177TH ST, QUEENS, NY 11434",queens,11434,146-43,177TH ST,40.661893,-73.769142,1048299.0,180506.0,413.0
29QCFD,"93-35 208TH STREET, QUEENS, NY 11428",queens,11428,93-35,208TH STREET,40.716408,-73.753716,1052523.0,200379.0,413.0
29QCFI,"130-48 225TH ST, QUEENS, NY 11413",queens,11413,130-48,225TH ST,40.682065,-73.742291,1055727.0,187876.0,413.0
29QCFS,"143-21 SPRINGFIELD BLVD, QUEENS, NY 11413",queens,11413,143-21,SPRINGFIELD BLVD,40.668027,-73.756886,1051693.0,182750.0,413.0
29QCGR,"116-22 222ND STREET, QUEENS, NY 11411",queens,11411,116-22,222ND STREET,40.695754,-73.737809,1056955.0,192867.0,413.0
29QCHE,"192-11 119TH AVE, QUEENS, NY 11412",queens,11412,192-11,119TH AVE,40.689611,-73.75794,1051379.0,190613.0,412.0
29QCHK,"98-01 197TH STREET, QUEENS, NY 11423",queens,11423,98-01,197TH STREET,40.711523,-73.763249,1049885.0,198592.0,412.0
29QCHN,"111-45 FARMERS BLVD, QUEENS, NY 11412",queens,11412,111-45,FARMERS BLVD,40.700983,-73.764556,1049533.0,194751.0,412.0
29QCHX,"147-47 EDGEWOOD ST, QUEENS, NY 11422",queens,11422,147-47,EDGEWOOD ST,40.655956,-73.74211,1055805.0,178364.0,413.0
29QCIR,"228-01 MERRICK BOULEVARD, QUEENS, NY 11413",queens,11413,228-01,MERRICK BOULEVARD,40.67666,-73.742066,1055795.0,185907.0,413.0
29QCIX,"196-01 119TH AVENUE, QUEENS, NY 11412",queens,11412,196-01,119TH AVENUE,40.690749,-73.754586,1052308.0,191030.0,412.0
29QCKX,"111-04 180TH ST, QUEENS, NY 11433",queens,11433,111-04,180TH ST,40.699453,-73.773628,1047019.0,194187.0,412.0
29Z017,"168-42 JAMAICA AVENUE, JAMAICA, NY 11432",queens,11432,168-42,JAMAICA AVENUE,40.706716,-73.791302,1042112.0,196821.0,412.0
29Z020,"100-05 SPRINGFIELD BOULEVARD, QUEENS VILLAGE, NY 11429",queens,11429,100-05,SPRINGFIELD BOULEVARD,40.714825,-73.735606,1057545.0,199817.0,413.0
29Z144,"134-35 SPRINGFIELD BOULEVARD, QUEENS, NY 11413",queens,11413,134-35,SPRINGFIELD BOULEVARD,40.679271,-73.753853,1052523.0,186849.0,413.0
29Z145,"92-53 Springfield Boulevard, QUEENS, NY 11428",queens,11428,92-53,Springfield Boulevard,40.723325,-73.73778,1056933.0,202912.0,413.0
29Z146,"207-01 JAMAICA AVENUE, QUEENS, NY 11428",queens,11428,207-01,JAMAICA AVENUE,40.714136,-73.752992,1052726.0,199552.0,413.0
30H555,"24-40 95TH STREET, QUEENS, NY 11369",queens,11369,24-40,95TH STREET,40.765086,-73.874618,1018982.0,218043.0,403.0
30Q002,"75-10 21 AVENUE, QUEENS, NY 11370",queens,11370,75-10,21 AVENUE,40.770335,-73.894476,1013479.0,219948.0,401.0
30Q011,"54-25 SKILLMAN AVENUE, QUEENS, NY 11377",queens,11377,54-25,SKILLMAN AVENUE,40.745244,-73.90872,1009543.0,210802.0,402.0
30Q017,"28-37 29 STREET, QUEENS, NY 11102",queens,11102,28-37,29 STREET,40.768985,-73.922428,1005737.0,219448.0,401.0
30Q069,"77-02 37 AVENUE, QUEENS, NY 11372",queens,11372,77-02,37 AVENUE,40.749266,-73.888817,1015056.0,212274.0,403.0
30Q070,"30-44 43RD STREET, QUEENS, NY 11103",queens,11103,30-44,43RD STREET,40.761537,-73.913611,1008182.0,216737.0,401.0
30Q076,"36-36 10 STREET, QUEENS, NY 11106",queens,11106,36-36,10 STREET,40.760852,-73.941143,1000555.0,216481.0,401.0
30Q078,"48-09 CENTER BOULEVARD, QUEENS, NY 11109",queens,11109,48-09,CENTER BOULEVARD,40.744753,-73.957971,995896.0,210613.0,402.0
30Q084,"22-45 41 STREET, QUEENS, NY 11105",queens,11105,22-45,41 STREET,40.771512,-73.90633,1010195.0,220373.0,401.0
30Q085,"23-70 31 STREET, QUEENS, NY 11105",queens,11105,23-70,31 STREET,40.772932,-73.914625,1007897.0,220888.0,401.0
30Q092,"99-01 34 AVENUE, QUEENS, NY 11368",queens,11368,99-01,34 AVENUE,40.755418,-73.869017,1020539.0,214523.0,403.0
30Q111,"37-15 13 STREET, QUEENS, NY 11101",queens,11101,37-15,13 STREET,40.758831,-73.93938,1001044.0,215745.0,401.0
30Q112,"25-05 37 AVENUE, QUEENS, NY 11101",queens,11101,25-05,37 AVENUE,40.756891,-73.934523,1002390.0,215039.0,401.0
30Q122,"21-21 DITMARS BOULEVARD, QUEENS, NY 11105",queens,11105,21-21,DITMARS BOULEVARD,40.780347,-73.916655,1007332.0,223589.0,401.0
30Q127,"98-01 25 AVENUE, QUEENS, NY 11369",queens,11369,98-01,25 AVENUE,40.764646,-73.871641,1019807.0,217884.0,403.0
30Q148,"89-02 32 AVENUE, QUEENS, NY 11369",queens,11369,89-02,32 AVENUE,40.758377,-73.879089,1017747.0,215597.0,403.0
30Q149,"93-11 34 AVENUE, QUEENS, NY 11372",queens,11372,93-11,34 AVENUE,40.754837,-73.874605,1018991.0,214309.0,403.0
30Q150,"40-01 43 AVENUE, QUEENS, NY 11104",queens,11104,40-01,43 AVENUE,40.745537,-73.923776,1005371.0,210905.0,402.0
30Q151,"50-05 31 AVENUE, QUEENS, NY 11377",queens,11377,50-05,31 AVENUE,40.757499,-73.908898,1009489.0,215267.0,401.0
30Q152,"33-52 62 STREET, QUEENS, NY 11377",queens,11377,33-52,62 STREET,40.753037,-73.900123,1011922.0,213644.0,402.0
30Q166,"33-09 35 AVENUE, QUEENS, NY 11106",queens,11106,33-09,35 AVENUE,40.757309,-73.926733,1004548.0,215193.0,401.0
30Q171,"14-14 29 AVENUE, QUEENS, NY 11102",queens,11102,14-14,29 AVENUE,40.771336,-73.929086,1003892.0,220303.0,401.0
30Q212,"34-25 82 STREET, QUEENS, NY 11372",queens,11372,34-25,82 STREET,40.753078,-73.884906,1016138.0,213664.0,403.0
30Q222,"86-15 37 AVENUE, QUEENS, NY 11372",queens,11372,86-15,37 AVENUE,40.750172,-73.880363,1017398.0,212607.0,403.0
30Q228,"32-63 93 STREET, QUEENS, NY 11369",queens,11369,32-63,93 STREET,40.75747,-73.875279,1018803.0,215268.0,403.0
30Q234,"30-15 29 STREET, QUEENS, NY 11102",queens,11102,30-15,29 STREET,40.767305,-73.923246,1005511.0,218836.0,401.0
30Q280,"34-20 94TH STREET, QUEENS, NY 11372",queens,11372,34-20,94TH STREET,40.754241,-73.873769,1019223.0,214092.0,403.0
30Q329,"26-25 97TH STREET, QUEENS, NY 11369",queens,11369,26-25,97TH STREET,40.761557,-73.872239,1019643.0,216758.0,403.0
30Q361,"39-07 57TH STREET, QUEENS, NY 11377",queens,11377,39-07,57TH STREET,40.747693,-73.906429,1010177.0,211695.0,402.0
30Q384,"27-35 JACKSON AVENUE, QUEENS, NY 11101",queens,11101,27-35,JACKSON AVENUE,40.747948,-73.940079,1000853.0,211780.0,402.0
30Q398,"69-01 34TH AVENUE, QUEENS, NY 11377",queens,11377,69-01,34TH AVENUE,40.752493,-73.896922,1012809.0,213447.0,403.0
30QABL,"33-16 79 STREET, QUEENS, NY 11372",queens,11372,33-16,79 STREET,40.754791,-73.888083,1015257.0,214287.0,403.0
