schooldbn,address,borough,zip,house_number,street_name,latitude,longitude,xCoordinate,yCoordinate,communityDistrict
24Q014,"107-01 Otis Avenue, Queens, NY 11368",queens,11368,107-01,Otis Avenue,40.74056,-73.854131,1024672,0209116,404
24Q016,"41-15 104 Street, Queens, NY 11368",queens,11368,41-15,104 Street,40.748987,-73.86123,1022700,0212183,404
24Q019,"98-02 Roosevelt Avenue, Queens, NY 11368",queens,11368,98-02,Roosevelt Avenue,40.749394,-73.867213,1021042,0212329,404
24Q028,"109-10 47 Avenue, Queens, NY 11368",queens,11368,109-10,47 Avenue,40.747126,-73.854824,1024476,0211508,404
24Q049,"63-60 80Th Street, Queens, NY 11379",queens,11379,63-60,80Th Street,40.719867,-73.875093,1018874,0201568,405
24Q058,"72-24 Grand Avenue, Queens, NY 11378",queens,11378,72-24,Grand Avenue,40.728735,-73.890699,1014544,0204793,405
24Q068,"59-09 Saint Felix Avenue, Queens, NY 11385",queens,11385,59-09,Saint Felix Avenue,40.696556,-73.897405,1012699,0193067,405
24Q071,"62-85 Forest Avenue, Queens, NY 11385",queens,11385,62-85,Forest Avenue,40.711203,-73.905286,1010508,0198401,405
24Q081,"559 Cypress Avenue, Queens, NY 11385",queens,11385,559,Cypress Avenue,40.703765,-73.912344,1008554,0195689,405
24Q087,"67-54 80 Street, Queens, NY 11379",queens,11379,67-54,80 Street,40.711815,-73.871238,1019947,0198636,405
24Q088,"60-85 Catalpa Avenue, Queens, NY 11385",queens,11385,60-85,Catalpa Avenue,40.703779,-73.896374,1012982,0195699,405
24Q089,"85-28 Britton Avenue, Queens, NY 11373",queens,11373,85-28,Britton Avenue,40.745923,-73.880205,1017444,0211059,404
24Q091,"68-10 Central Ave, Queens, NY 11385",queens,11385,68-10,Central Ave,40.703885,-73.884161,1016368,0195742,405
24Q102,"55-24 Van Horn Street, Queens, NY 11373",queens,11373,55-24,Van Horn Street,40.733514,-73.877857,1018101,0206539,404
24Q110,"43-18 97Th Place, Queens, NY 11368",queens,11368,43-18,97Th Place,40.745995,-73.866372,1021277,0211091,404
24Q113,"78-23 87Th Street, Queens, NY 11385",queens,11385,78-23,87Th Street,40.705516,-73.862208,1022454,0196345,405
24Q119,"74-01 78 Avenue, Queens, NY 11385",queens,11385,74-01,78 Avenue,40.704406,-73.875183,1018857,0195935,405
24Q128,"69-10 65Th Drive, Queens, NY 11379",queens,11379,69-10,65Th Drive,40.715344,-73.886215,1015793,0199916,405
24Q143,"34-74 113 Street, Queens, NY 11368",queens,11368,34-74,113 Street,40.755435,-73.855185,1024371,0214535,403
24Q153,"60-02 60 Lane, Queens, NY 11378",queens,11378,60-02,60 Lane,40.716609,-73.903669,1010954,0200371,405
